cell_type	beta	se	z	p	q	sig_pct
Secretomotor_vasodilator_neuron	5.497113739819846	2.2110212541237884	2.486232879746021	0.0072792398394218	0.0733852788867292	0.5524475524475524
Inhibitory_motor_neuron	6.364087484431749	2.526612252507694	2.5188223789049204	0.0053228670188886	0.0733852788867292	0.6376146788990825
Sensory_neuron	3.6657763735757873	1.5483189942057576	2.367584707863268	0.0100070834845539	0.0733852788867292	0.8
Enteroendocrine	7.978698696015847	3.859453440612501	2.0673131102080653	0.0735427148466907	0.3235879453254391	0.0
Excitatory_motor_neuron	4.193609731784994	2.5277096268271797	1.6590551728241345	0.0605478611024378	0.3235879453254391	0.0
Lymphatic	12.17175687276637	6.529084161388658	1.864236479711357	0.1359667641295163	0.4273241158356228	0.0
Myocyte	9.25078329367797	4.206764343303709	2.199025792448604	0.1278231496955538	0.4273241158356228	0.0
Fibroblast	7.357855094821399	3.763155659553148	1.955235382342675	0.2614514112116347	0.5751931046655965	0.0
Interneuron	1.64865486167858	1.5317745001335437	1.0763038956026794	0.222212397913777	0.5751931046655965	0.0
Neuron	4.642226872905571	3.9468937341071664	1.176172247250963	0.2485365425297109	0.5751931046655965	0.0
Tuft	3.628838978031661	4.833436589068811	0.7507782322496088	0.4676309142821304	0.7913753934005284	0.0
B_cell	5.065266469360593	7.826295138492473	0.6472112768208588	0.4531272124794177	0.7913753934005284	0.0
Vascular	5.847671762162968	5.233990828046055	1.117249142055912	0.4035533517988682	0.7913753934005284	0.0
TA	11.188879814071123	2.71307727956545	4.124054960890473	0.5630965226913495	0.814792134624078	0.0
Mesothelial	1.3020290604006208	4.370160745269397	0.2979361941800513	0.5807646022165166	0.814792134624078	0.0
Cycling_TA	7.284477492073183	4.763770736078673	1.5291410724079988	0.5925760979084204	0.814792134624078	0.0
Macrophage	1.8898957660506257	4.072510906033728	0.4640615604615335	0.6314888335673801	0.8172208434401389	0.0
Stem	9.653875231781564	3.435426819152557	2.810094855742833	0.844119553058166	0.9285315083639826	0.0
Glia	0.187381232770477	4.394855801585598	0.0426364916689354	0.8413315711664671	0.9285315083639826	0.0
Goblet	2.174391536492145	5.698432573334081	0.3815771281856084	0.8241755657442087	0.9285315083639826	0.0
Colonocyte	2.7655847512518954	5.779302618808514	0.4785326074207306	0.92089945999339	0.9517681178989728	0.0
T_cell	-2.7215477291162022	4.814069242820786	-0.5653320697816805	0.9517681178989728	0.9517681178989728	0.0
