cell_type	pvalue	FDR
Secretomotor_vasodilator_neuron	0.0015975775523106	0.035146706150835
Sensory_neuron	0.0167121308063244	0.183833438869569
Inhibitory_motor_neuron	0.0343197780066928	0.251678372049081
Enteroendocrine	0.0790696313005522	0.434882972153037
Excitatory_motor_neuron	0.102154144994846	0.449478237977324
Interneuron	0.126826693449759	0.465031209315782
B_cell	0.359884852413217	0.942883561961154
Tuft	0.377831841598169	0.942883561961154
Neuron	0.385725093529563	0.942883561961154
Cycling_TA	0.599775286138145	0.990763404744919
Macrophage	0.625226648746375	0.990763404744919
TA	0.661410694210338	0.990763404744919
Goblet	0.686993098612905	0.990763404744919
Fibroblast	0.754805509132793	0.990763404744919
Lymphatic	0.79152571201344	0.990763404744919
Colonocyte	0.808589070758868	0.990763404744919
Myocyte	0.854807366716585	0.990763404744919
Mesothelial	0.855574623428671	0.990763404744919
T_cell	0.914609786162772	0.990763404744919
Vascular	0.927413648542651	0.990763404744919
Stem	0.945728704529241	0.990763404744919
Glia	0.998088521434378	0.998088521434378
