group	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	q
B_cell	5467.0	1000.0	0.15584415	0.9657674	0.8941059	-1.0907497	0.0	0.0	0.0	0.34285713
Colonocyte	17506.0	1000.0	0.76523477	-0.7349273	0.18281718	0.7971693	0.0	0.0	0.0	0.920763452631579
Cycling_TA	35716.0	1000.0	0.6303696	-0.35741684	0.7712288	-0.7522432	0.0	0.0	0.0	0.8157724235294117
Enteroendocrine	7105.0	1000.0	0.021978023	2.4047196	0.10789211	1.2438955	0.0	0.0	0.0	0.159340665
Excitatory_motor_neuron	450.0	1000.0	0.053946055	1.6283973	0.7782218	-0.7726739	0.0	0.0	0.0	0.19466248057142857
Fibroblast	12343.0	1000.0	0.13086914	1.1545578	0.14285715	0.9902454	0.0	0.0	0.0	0.3199023422222222
Glia	5213.0	1000.0	0.22977023	0.7242188	0.56643355	-0.31573957	0.0	0.0	0.0	0.45954046
Goblet	4635.0	1000.0	0.7952048	-0.83019084	0.53746253	-0.31508103	0.0	0.0	0.0	0.920763452631579
Inhibitory_motor_neuron	654.0	1000.0	0.012987013	2.4258158	0.050949052	1.9157027	0.0	0.0	0.0	0.142857143
Interneuron	276.0	1000.0	0.007992008	2.5924451	0.04995005	1.7458273	0.0	0.0	0.0	0.142857143
Lymphatic	13778.0	1000.0	0.969031	-1.6981518	0.43656343	-0.042362	0.0	0.0	0.0	0.998002
Macrophage	3579.0	1000.0	0.061938062	1.6281246	0.7532467	-0.69513154	0.0	0.0	0.0	0.19466248057142857
Mesothelial	1175.0	1000.0	0.4965035	-0.090059444	0.8871129	-1.1880854	0.0	0.0	0.0	0.6909340625
Myocyte	17328.0	1000.0	0.8901099	-1.120214	0.8361638	-0.90929836	0.0	0.0	0.0	0.97912089
Neuron	546.0	1000.0	0.47252747	0.005463862	0.9020979	-1.3180827	0.0	0.0	0.0	0.6909340625
Secretomotor_vasodilator_neuron	143.0	1000.0	0.02897103	2.0685568	0.077922076	1.3601775	0.0	0.0	0.0	0.159340665
Sensory_neuron	415.0	1000.0	0.054945055	1.6156334	0.17082918	0.98464334	0.0	0.0	0.0	0.19466248057142857
Stem	67476.0	1000.0	0.48251748	0.017834593	0.3756244	0.053938493	0.0	0.0	0.0	0.6909340625
TA	137297.0	1000.0	0.4055944	0.12518597	0.5904096	-0.43031734	0.0	0.0	0.0	0.6909340625
T_cell	4479.0	1000.0	0.5024975	-0.11256486	0.95404595	-1.4487685	0.0	0.0	0.0	0.6909340625
Tuft	2992.0	1000.0	0.11788212	1.2963828	0.40959042	0.13782936	0.0	0.0	0.0	0.3199023422222222
Vascular	4427.0	1000.0	0.998002	-2.3729458	0.15184815	0.9476397	0.0	0.0	0.0	0.998002
